Title,Author/s,DOI,External URL,Include ,Reason to exclude,MRI,Treatment
a stacked machine learning-based classification model for endometriosis and adenomyosis: a retrospective cohort study utilizing peripheral blood and coagulation markers.,Weiying Wang; Weiwei Zeng; Sen Yang,10.3389/fdgth.2024.1463419,http://dx.doi.org/10.3389/fdgth.2024.1463419,no,Does not use ultrasound but peripheral blood and coagulation markers,,
analysis of the nonperfused volume ratio of adenomyosis from mri images based on fewshot learning.,Jiaqi Li; Wei Wang; Xin Liu; Lejian Liao,10.1088/1361-6560/abd66b,http://dx.doi.org/10.1088/1361-6560/abd66b,no,Uses MRI,yes,
application of deep learning model in the sonographic diagnosis of uterine adenomyosis,Diego Raimondo; Antonio Raffone; Anna Chiara Aru; Matteo Giorgi; Ilaria Giaquinto; Emanuela Spagnolo; Antonio Travaglino; Federico A. Galatolo; Mario G. C. A. Cimino; Gabriele Centini; Lucia Lazzeri; Antonio Mollo; Renato Seracchioli; Paolo Casadio,10.21203/rs.3.rs-2176240/v1,http://dx.doi.org/10.21203/rs.3.rs-2176240/v1,yes,,,
application of deep learning model in the sonographic diagnosis of uterine adenomyosis.,Diego Raimondo; Antonio Raffone; Anna Chiara Aru; Matteo Giorgi; Ilaria Giaquinto; Emanuela Spagnolo; Antonio Travaglino; Federico Andrea Galatolo; Mario Giovanni Cosimo Antonio Cimino; Jacopo Lenzi; Gabriele Centini; Lucia Lazzeri; Antonio Mollo; Renato Seracchioli; Paolo Casadio,10.3390/ijerph20031724,http://dx.doi.org/10.3390/ijerph20031724,no,Duplicate of the above,,
artificial intelligence applications in endometriosis imaging.,Sneha Mittal; Angela Tong; Scott Young; Priyanka Jha,10.1007/s00261-025-04897-w,http://dx.doi.org/10.1007/s00261-025-04897-w,no,Focus on endemetriosis,,
artificial intelligence in the management of women with endometriosis and adenomyosis: can machines ever be worse than humans?,Giulia Emily Cetera; Alberto Eugenio Tozzi; Valentina Chiappa; Isabella Castiglioni; Camilla Erminia Maria Merli; Paolo Vercellini,10.3390/jcm13102950,http://dx.doi.org/10.3390/jcm13102950,yes,,,
automatic diagnosis for adenomyosis in ultrasound images by deep neural networks.,Qinghong Zhao; Tongyu Yang; Changyong Xu; Jiaqi Hu; Yu Shuai; Hua Zou; Wei Hu,10.1016/j.ejogrb.2024.07.046,http://dx.doi.org/10.1016/j.ejogrb.2024.07.046,yes,,,
automatic uterus segmentation in transvaginal ultrasound using u-net and nnu-net.,Dilara Tank; Bianca G S Schor; Lisa M Trommelen; Judith A F Huirne; Iacer Calixto; Robert A de Leeuw,10.1371/journal.pone.0336237,http://dx.doi.org/10.1371/journal.pone.0336237,yes,,,
bioinformatic analysis and machine learning to identify the diagnostic biomarkers and immune infiltration in adenomyosis.,Dan Liu; Xiangjie Yin; Xiaohong Guan; Kunming Li,10.3389/fgene.2022.1082709,http://dx.doi.org/10.3389/fgene.2022.1082709,no,Focus on finding biomarkers linked to adenomyosis,,
development and validation of mri-based radiomics model for clinical symptom stratification of extrinsic adenomyosis.,Man Sun; Jianzhang Wang; Ping Xu; Libo Zhu; Gen Zou; Shuyi Chen; Yuanmeng Liu; Xinmei Zhang,10.1080/07853890.2025.2534521,http://dx.doi.org/10.1080/07853890.2025.2534521,no,Uses MRI,yes,
"high-intensity frequency ultrasound: noninvasive targeted therapy, the new vogue in globus treatment of benign and cancerous solid tumors and rejuvenation procedures",A.B Kihara; Kireki Omanwa; null Maureen Owiti; null Kinuthia; null Mukhwana; null Inwani; null Kamuri; R Kosgei; null Cheserem E.,10.59692/jogeca.v36i1.291,http://dx.doi.org/10.59692/jogeca.v36i1.291,no,Focus on cancer and treatment,,yes
index,Khaldoun Sharif MBBCh; Arri Coomarasamy MBChB,10.1002/9781119622215.index,http://dx.doi.org/10.1002/9781119622215.index,no,Not an article,,
machine learning prediction of live birth after ivf using the morphological uterus sonographic assessment group features of adenomyosis,"Alson S, Björnsson O, Henic E, Hansson SR, Sladkevicius P.",10.1038/s41598-025-31013-1,,no,Focus on predicting live birth,,
machine learning-based predictive analysis of energy efficiency factors necessary for the hifu treatment of adenomyosis.,Ziyan Liu; Ziyi Liu; Yuan Wang; Xiyao Wan; Xiaohua Huang,10.3389/fphys.2025.1602866,http://dx.doi.org/10.3389/fphys.2025.1602866,no,Focus on treatment,,yes
mri-based radiomics as a promising noninvasive diagnostic technique for adenomyosis.,Laurin Burla; Elisabeth Sartoretti; Manoj Mannil; Stefan Seidel; Thomas Sartoretti; Harald Krentel; Rudy Leon De Wilde; Patrick Imesch,10.3390/jcm13082344,http://dx.doi.org/10.3390/jcm13082344,no,Uses MRI,yes,
multi-machine learning model based on habitat subregions for outcome prediction in adenomyosis treated by uterine artery embolization,"Jin W, Wang S, Wang T, Zhang D, Wang Y, Zhang G.",10.1016/j.acra.2024.05.037,,no,Focus on treatment,,yes
multiparametric magnetic resonance imaging (mri)-based interpretable radiomics machine learning model for outcome prediction in adenomyosis treated by high-intensity focussed ultrasound,"Liu ZY, Liu ZY, Wan XY, Wang Y, Huang XH.",10.1016/j.crad.2025.107058,,no,Uses MRI and treatment focus,yes,yes
"op11.06: the predictive value of musa features of adenomyosis on live birth is poor, using a machine learning algorithm",S. Alson; O. Björnsson; S. Hansson; E. Henic; P. Sladkevicius,10.1002/uog.27964,http://dx.doi.org/10.1002/uog.27964,no,Focus on predicting live birth,,
p-348 artificial intelligence-based machine learning to diagnose and classify adenomyosis from ultrasound scans: a model development study,I Mishra; N Mishra; Q Meng; M Rajkhowa; V Sephton; R Dhillon-Smith; A Coomarasamy; M Khairy,10.1093/humrep/deaf097.655,http://dx.doi.org/10.1093/humrep/deaf097.655,yes,,,
perspectives in transvaginal sonography for the diagnosis of adenomyosis.,Xiao-Ling An; Jun Zhang; Xiao-Chun Yun; Xiao-Hui Lei; Jing Zhao; Xiao-Hua Yang; Mei-Mei Liu,10.3389/fmed.2025.1533648,http://dx.doi.org/10.3389/fmed.2025.1533648,no,Medical focus (not focussed on ML/DL),,
prediction of ablation rate for high-intensity focused ultrasound therapy of adenomyosis in mr images based on multi-model fusion.,Jie Ying; Xin Jing; Feng Gao; Jiejun Cheng; Le Fu; Haima Yang,10.1007/s10278-024-01063-4,http://dx.doi.org/10.1007/s10278-024-01063-4,no,Focussed on predicting ablation rate and not diagnosing,,
quantitative analysis of ultrasound images for computer-aided diagnosis.,Jie Ying Wu; Adam Tuomi; Michael D. Beland; Joseph Konrad; David V. Glidden; David J. Grand; Derek Merck,10.1117/1.jmi.3.1.014501,http://dx.doi.org/10.1117/1.jmi.3.1.014501,yes,,,
the increasing role of ultrasound in ob-gyn practice: present and future applications,Lara Marie David Bustamante,10.4103/pjog.pjog_74_23,http://dx.doi.org/10.4103/pjog.pjog_74_23,no,Medical focus (not focussed on ML/DL),,
the role of shear wave elastography in predicting clinical symptoms in adenomyosis: a prospective observational study with a machine learning approach,"Zorlu U, Yılmazer Zorlu SN, Elmas B.",10.1111/jog.70037,,no,Uses shear wave elastography and not TVUS,,
transvaginal ultrasound: a reliable tool for detection and preoperative mapping of pelvic endometriosis.,Anuradha S Shenoy-Bhangle; Priyanka Jha,10.1016/j.fertnstert.2023.12.035,http://dx.doi.org/10.1016/j.fertnstert.2023.12.035,no,Focus on endemetriosis and have a medical focus (not focussed on ML/DL),,
ultrasound texture analysis for the diagnosis of adenomyosis,F. Delberghe; Z. Gong; C. D. Fernandes; C. Rees; H. Van Vliet; M. Mischi,10.1109/MeMeA65319.2025.11068108,,yes,,,
urine and serum mirna signatures for the non-invasive diagnosis of adenomyosis: a machine learning-based pilot study.,Tomas Kupec; Julia Wittenborn; Chao-Chung Kuo; Rebecca Senger; Philipp Meyer-Wilmes; Laila Najjari; Elmar Stickeler; Jochen Maurer,10.3390/diagnostics15233012,http://dx.doi.org/10.3390/diagnostics15233012,no,Uses serum- and urine-derived microRNA to diagnose,,
utilization of radiomics to predict long-term outcome of magnetic resonance–guided focused ultrasound ablation therapy in adenomyosis,Zhicong Li; Jing Zhang; Yang Song; Xiaorui Yin; An Chen; Na Tang; Martin R. Prince; Guang Yang; Han Wang,10.1007/s00330-020-07076-1,http://dx.doi.org/10.1007/s00330-020-07076-1,no,Uses MRI,yes,
vp05.06: differential diagnosis of deep rectal endometriosis by ultrasound,Gábor Szabó; I. Madár; János Rigó; A. Hajdinák; N. Ács; Attila Bokor,10.1002/uog.24091,http://dx.doi.org/10.1002/uog.24091,no,Focus on endemetriosis and have a medical focus (not focussed on ML/DL),,
vp62.06: abstract withdrawn,I. Pelayo; J. Sancho; E. Cabezas; Belén Perez‐Mies; E Moratalla Bartolomé; C. del‐Valle‐Rubido; L.I. Abarca; José Luis Lázaro Galilea,10.1002/uog.23367,http://dx.doi.org/10.1002/uog.23367,no,Not an article,,
