Title,Authors,DOI,External URL,,include 
a stacked machine learning-based classification model for endometriosis and adenomyosis: a retrospective cohort study utilizing peripheral blood and coagulation markers.,,10.3389/fdgth.2024.1463419,http://dx.doi.org/10.3389/fdgth.2024.1463419,,no
analysis of the nonperfused volume ratio of adenomyosis from mri images based on fewshot learning.,,10.1088/1361-6560/abd66b,http://dx.doi.org/10.1088/1361-6560/abd66b,,no
application of deep learning model in the sonographic diagnosis of uterine adenomyosis,,10.21203/rs.3.rs-2176240/v1,http://dx.doi.org/10.21203/rs.3.rs-2176240/v1,,yes
application of deep learning model in the sonographic diagnosis of uterine adenomyosis.,,10.3390/ijerph20031724,http://dx.doi.org/10.3390/ijerph20031724,,no
artificial intelligence applications in endometriosis imaging.,,10.1007/s00261-025-04897-w,http://dx.doi.org/10.1007/s00261-025-04897-w,,no
artificial intelligence in the management of women with endometriosis and adenomyosis: can machines ever be worse than humans?,,10.3390/jcm13102950,http://dx.doi.org/10.3390/jcm13102950,,yes
automatic diagnosis for adenomyosis in ultrasound images by deep neural networks.,,10.1016/j.ejogrb.2024.07.046,http://dx.doi.org/10.1016/j.ejogrb.2024.07.046,,yes
automatic uterus segmentation in transvaginal ultrasound using u-net and nnu-net.,,10.1371/journal.pone.0336237,http://dx.doi.org/10.1371/journal.pone.0336237,,yes
bioinformatic analysis and machine learning to identify the diagnostic biomarkers and immune infiltration in adenomyosis.,,10.3389/fgene.2022.1082709,http://dx.doi.org/10.3389/fgene.2022.1082709,,no
development and validation of mri-based radiomics model for clinical symptom stratification of extrinsic adenomyosis.,,10.1080/07853890.2025.2534521,http://dx.doi.org/10.1080/07853890.2025.2534521,,no
"high-intensity frequency ultrasound: noninvasive targeted therapy, the new vogue in globus treatment of benign and cancerous solid tumors and rejuvenation procedures",,10.59692/jogeca.v36i1.291,http://dx.doi.org/10.59692/jogeca.v36i1.291,,no
index,,10.1002/9781119622215.index,http://dx.doi.org/10.1002/9781119622215.index,,no
machine learning prediction of live birth after ivf using the morphological uterus sonographic assessment group features of adenomyosis,"Alson S, Björnsson O, Henic E, Hansson SR, Sladkevicius P.",10.1038/s41598-025-31013-1,,,no
machine learning-based predictive analysis of energy efficiency factors necessary for the hifu treatment of adenomyosis.,,10.3389/fphys.2025.1602866,http://dx.doi.org/10.3389/fphys.2025.1602866,,no
mri-based radiomics as a promising noninvasive diagnostic technique for adenomyosis.,,10.3390/jcm13082344,http://dx.doi.org/10.3390/jcm13082344,,no
multi-machine learning model based on habitat subregions for outcome prediction in adenomyosis treated by uterine artery embolization,"Jin W, Wang S, Wang T, Zhang D, Wang Y, Zhang G.",10.1016/j.acra.2024.05.037,,,no
multiparametric magnetic resonance imaging (mri)-based interpretable radiomics machine learning model for outcome prediction in adenomyosis treated by high-intensity focussed ultrasound,"Liu ZY, Liu ZY, Wan XY, Wang Y, Huang XH.",10.1016/j.crad.2025.107058,,,no
"op11.06: the predictive value of musa features of adenomyosis on live birth is poor, using a machine learning algorithm",,10.1002/uog.27964,http://dx.doi.org/10.1002/uog.27964,,no
p-348 artificial intelligence-based machine learning to diagnose and classify adenomyosis from ultrasound scans: a model development study,,10.1093/humrep/deaf097.655,http://dx.doi.org/10.1093/humrep/deaf097.655,,yes
perspectives in transvaginal sonography for the diagnosis of adenomyosis.,,10.3389/fmed.2025.1533648,http://dx.doi.org/10.3389/fmed.2025.1533648,,no
prediction of ablation rate for high-intensity focused ultrasound therapy of adenomyosis in mr images based on multi-model fusion.,,10.1007/s10278-024-01063-4,http://dx.doi.org/10.1007/s10278-024-01063-4,,no
quantitative analysis of ultrasound images for computer-aided diagnosis.,,10.1117/1.jmi.3.1.014501,http://dx.doi.org/10.1117/1.jmi.3.1.014501,,yes
the increasing role of ultrasound in ob-gyn practice: present and future applications,,10.4103/pjog.pjog_74_23,http://dx.doi.org/10.4103/pjog.pjog_74_23,,no
the role of shear wave elastography in predicting clinical symptoms in adenomyosis: a prospective observational study with a machine learning approach,"Zorlu U, Yılmazer Zorlu SN, Elmas B.",10.1111/jog.70037,,,no
transvaginal ultrasound: a reliable tool for detection and preoperative mapping of pelvic endometriosis.,,10.1016/j.fertnstert.2023.12.035,http://dx.doi.org/10.1016/j.fertnstert.2023.12.035,,no
ultrasound texture analysis for the diagnosis of adenomyosis,F. Delberghe; Z. Gong; C. D. Fernandes; C. Rees; H. Van Vliet; M. Mischi,10.1109/MeMeA65319.2025.11068108,,,yes
urine and serum mirna signatures for the non-invasive diagnosis of adenomyosis: a machine learning-based pilot study.,,10.3390/diagnostics15233012,http://dx.doi.org/10.3390/diagnostics15233012,,no
utilization of radiomics to predict long-term outcome of magnetic resonance–guided focused ultrasound ablation therapy in adenomyosis,,10.1007/s00330-020-07076-1,http://dx.doi.org/10.1007/s00330-020-07076-1,,no
vp05.06: differential diagnosis of deep rectal endometriosis by ultrasound,,10.1002/uog.24091,http://dx.doi.org/10.1002/uog.24091,,no
vp62.06: abstract withdrawn,,10.1002/uog.23367,http://dx.doi.org/10.1002/uog.23367,,no
vp62.16: artificial intelligence in the detection of rectosigmoid deep endometriosis,,10.1002/uog.23377,http://dx.doi.org/10.1002/uog.23377,,no
