Title,Author/s,DOI,Publication Year,External URL
a comprehensive review of screening methods for ovarian masses: towards earlier detection.,Shreya A Sahu; Deepti Shrivastava,10.7759/cureus.48534,2023.0,http://dx.doi.org/10.7759/cureus.48534
a transvaginal ultrasound-based deep learning model for the noninvasive diagnosis of myometrial invasion in patients with endometrial cancer: comparison with radiologists,"Liu X, Qin X, Luo Q, Qiao J, Xiao W, Zhu Q, Liu J, Zhang C.",10.1016/j.acra.2023.12.035,2024.0,
advances in ultrasound-based imaging for diagnosis of endometrial cancer.,Mohamad Tlais; Hussein Hamze; Ali Hteit; Karim Haddad; Issam El Fassih; Issa Zalzali; Sally Mahmoud; Sabine Karaki; Diana Jabbour,10.4329/wjr.v17.i9.111493,2025.0,http://dx.doi.org/10.4329/wjr.v17.i9.111493
an intelligent computer aided diagnosis system for classification of ovarian masses using machine learning approach,Smital D. Patil; Pramod J. Deore; Vaishali Bhagwat Patil,10.54392/irjmt2434,2024.0,http://dx.doi.org/10.54392/irjmt2434
application of deep learning model in the sonographic diagnosis of uterine adenomyosis,Diego Raimondo; Antonio Raffone; Anna Chiara Aru; Matteo Giorgi; Ilaria Giaquinto; Emanuela Spagnolo; Antonio Travaglino; Federico A. Galatolo; Mario G. C. A. Cimino; Gabriele Centini; Lucia Lazzeri; Antonio Mollo; Renato Seracchioli; Paolo Casadio,10.21203/rs.3.rs-2176240/v1,2022.0,http://dx.doi.org/10.21203/rs.3.rs-2176240/v1
application of deep learning model in the sonographic diagnosis of uterine adenomyosis.,Diego Raimondo; Antonio Raffone; Anna Chiara Aru; Matteo Giorgi; Ilaria Giaquinto; Emanuela Spagnolo; Antonio Travaglino; Federico Andrea Galatolo; Mario Giovanni Cosimo Antonio Cimino; Jacopo Lenzi; Gabriele Centini; Lucia Lazzeri; Antonio Mollo; Renato Seracchioli; Paolo Casadio,10.3390/ijerph20031724,2023.0,http://dx.doi.org/10.3390/ijerph20031724
artificial intelligence diagnosis of intrauterine adhesion by 3d ultrasound imaging: a prospective study.,Xingping Zhao; Minqiang Liu; Susu Wu; Baiyun Zhang; Arvind Burjoo; Yimin Yang; Dabao Xu,10.21037/qims-22-965,2023.0,http://dx.doi.org/10.21037/qims-22-965
artificial intelligence model for enhancing the accuracy of transvaginal ultrasound in detecting endometrial cancer and endometrial atypical hyperplasia.,Ilaria Capasso; Giuseppe Cucinella; Darryl E Wright; Hiroaki Takahashi; Luigi Antonio De Vitis; Adriana V Gregory; Bohyun Kim; Evelyn Reynolds; Diletta Fumagalli; Tommaso Occhiali; Angela J Fought; Michaela E McGree; Annie T Packard; Pamela I Causa Andrieu; Francesco Fanfani; Giovanni Scambia; Carrie L Langstraat; Abimbola Famuyide; Daniel M Breitkopf; Andrea Mariani; Gretchen E Glaser; Timothy L Kline,10.1136/ijgc-2024-005652,2024.0,http://dx.doi.org/10.1136/ijgc-2024-005652
automated assessment of endometrium from transvaginal ultrasound using deep learned snake,N. Singhal; S. Mukherjee; C. Perrey,10.1109/ISBI.2017.7950520,2017.0,
automatic measurement of endometrial thickness from transvaginal ultrasound images.,Yiyang Liu; Qin Zhou; Boyuan Peng; Jingjing Jiang; Li Fang; Weihao Weng; Wenwen Wang; Shixuan Wang; Xin Zhu,10.3389/fbioe.2022.853845,2022.0,http://dx.doi.org/10.3389/fbioe.2022.853845
automatic segmentation and alignment of uterine shapes from 3d ultrasound data.,Eva Boneš; Marco Gergolet; Ciril Bohak; Žiga Lesar; Matija Marolt,10.1016/j.compbiomed.2024.108794,2024.0,http://dx.doi.org/10.1016/j.compbiomed.2024.108794
automatic uterus segmentation in transvaginal ultrasound using u-net and nnu-net.,Dilara Tank; Bianca G S Schor; Lisa M Trommelen; Judith A F Huirne; Iacer Calixto; Robert A de Leeuw,10.1371/journal.pone.0336237,2025.0,http://dx.doi.org/10.1371/journal.pone.0336237
bidirectional copy-paste mamba for enhanced semi-supervised segmentation of transvaginal uterine ultrasound images.,Boyuan Peng; Yiyang Liu; Wenwen Wang; Qin Zhou; Li Fang; Xin Zhu,10.3390/diagnostics14131423,2024.0,http://dx.doi.org/10.3390/diagnostics14131423
clinical radiomics nomogram based on ultrasound: a tool for preoperative prediction of uterine sarcoma.,Wuwu Zheng; Aihui Lu; Xiaoxiao Tang; Lixia Chen,10.1002/jum.70043,2025.0,http://dx.doi.org/10.1002/jum.70043
clinical signs and diagnosis of fibroids from adolescence to menopause.,Eduard Mension; Francisco Carmona; Silvia Vannuccini; Charles Chapron,10.1016/j.fertnstert.2024.05.003,2024.0,http://dx.doi.org/10.1016/j.fertnstert.2024.05.003
deep learning algorithm for predicting preterm birth in the case of threatened preterm labor admissions using transvaginal ultrasound,"Ohtaka A, Akazawa M, Hashimoto K.",10.1007/s10396-023-01394-9,2024.0,
deep learning based junctional zone quantification using 3d transvaginal ultrasound in assisted reproduction,N. Singhal; S. Kudavelly; G. A. Ramaraju,10.1109/EMBC44109.2020.9175358,2020.0,
deep learning to diagnose pouch of douglas obliteration with ultrasound sliding sign,Gabriel Maicas; Mathew Leonardi; Jodie C Avery; Catrina Panuccio; Gustavo Carneiro; M. Louise Hull; George Condous,10.1530/raf-21-0031,2021.0,http://dx.doi.org/10.1530/raf-21-0031
deep learning-based analysis of efficiency and surgical timing for patients with cervical insufficiency using transvaginal ultrasound images,Xuekui Ye; Li Zhang; Rongxia Liu; Yongjuan Liu; Guowei Jiang,10.1155/2022/4455353,2022.0,http://dx.doi.org/10.1155/2022/4455353
deep learning-based automated measurement of cervical length in transvaginal ultrasound images of pregnant women,H. Kwon; S. Sun; H. C. Cho; H. S. Yun; S. Park; Y. J. Jung; J. -Y. Kwon; J. K. Seo,10.1109/JBHI.2024.3433594,2025.0,
deep learning-based automatic endometrium segmentation and thickness measurement for 2d transvaginal ultrasound,S. -Y. Hu; H. Xu; Q. Li; B. A. Telfer; L. J. Brattain; A. E. Samir,10.1109/EMBC.2019.8856367,2019.0,
deep learning-based three-dimensional transvaginal ultrasound in diagnosis of intrauterine adhesion,Ji Li; Dan Liu; Xiaofeng Qing; Lanlan Yu; Huizhen Xiang,10.1155/2021/2947021,2021.0,http://dx.doi.org/10.1155/2021/2947021
development of a novel machine learning model for automatic assessment of quality of transvaginal ultrasound images from multi-annotator labels.,Alison Deslandes; Daniel Petashvili; Hu Wang; Gustavo Carnerio; Jodie Avery; George Condous; Mathew Leonardi; M Louise Hull; Hsiang-Ting Chen,10.1002/ajum.70026,2025.0,http://dx.doi.org/10.1002/ajum.70026
"early diagnosis of ovarian cancer: a comprehensive review of the advances, challenges, and future directions.",Mun-Kun Hong; Dah-Ching Ding,10.3390/diagnostics15040406,2025.0,http://dx.doi.org/10.3390/diagnostics15040406
embc - deep learning based junctional zone quantification using 3d transvaginal ultrasound in assisted reproduction,Nitin Singhal; Srinivas Rao Kudavelly; G. A. Ramaraju,10.1109/embc44109.2020.9175358,2020.0,http://dx.doi.org/10.1109/embc44109.2020.9175358
endometrium segmentation on transvaginal ultrasound image using key-point discriminator.,Hyenok Park; Hong Joo Lee; Hak Gu Kim; Yong Man Ro; Dong-Kuk Shin; Ra Lee; Sunghoon Kim; Mikyung Kong,10.1002/mp.13677,2019.0,http://dx.doi.org/10.1002/mp.13677
imaging in gynecological cancers,Gülden Özek,10.37609/akya.3975.c2694,2026.0,http://dx.doi.org/10.37609/akya.3975.c2694
