Title,Author/s,DOI,External URL,include,reason
[development of a machine learning-based diagnostic model for t-shaped uterus using transvaginal 3d ultrasound quantitative parameters],"Li SJ, Wang Y, Huang R, Yang LM, Lyu XD, Huang XW, Peng XB, Song DM, Ma N, Xiao Y, Zhou QY, Guo Y, Liang N, Liu S, Gao K, Yan YN, Xia EL.",10.3760/cma.j.cn112137-20250302-00493,,no,not in english
a comprehensive review of screening methods for ovarian masses: towards earlier detection.,Shreya A Sahu; Deepti Shrivastava,10.7759/cureus.48534,http://dx.doi.org/10.7759/cureus.48534,no,
a comprehensive review of the role of artificial intelligence in obstetrics and gynecology.,Sagar N Malani; Deepti Shrivastava; Mayur S Raka,10.7759/cureus.34891,http://dx.doi.org/10.7759/cureus.34891,yes,
a decision support system based on radiomics and machine learning to predict the risk of malignancy of ovarian masses from transvaginal ultrasonography and serum ca-125.,Valentina Chiappa; Matteo Interlenghi; Giorgio Bogani; Christian Salvatore; F. Bertolina; Giuseppe Sarpietro; Mauro Signorelli; Dominique Ronzulli; Isabella Castiglioni; Francesco Raspagliesi,10.1186/s41747-021-00226-0,http://dx.doi.org/10.1186/s41747-021-00226-0,yes,
a machine learning approach applied to gynecological ultrasound to predict progression-free survival in ovarian cancer patients.,Francesca Arezzo; Gennaro Cormio; Daniele La Forgia; Carla Mariaflavia Santarsiero; Michele Mongelli; Claudio Lombardi; Gerardo Cazzato; Ettore Cicinelli; Vera Loizzi,10.1007/s00404-022-06578-1,http://dx.doi.org/10.1007/s00404-022-06578-1,no,"Not DL, but random forest and KNN"
a transvaginal ultrasound-based deep learning model for the noninvasive diagnosis of myometrial invasion in patients with endometrial cancer: comparison with radiologists,"Liu X, Qin X, Luo Q, Qiao J, Xiao W, Zhu Q, Liu J, Zhang C.",10.1016/j.acra.2023.12.035,,no,not available for free
achieving enhanced diagnostic precision in endometrial lesion analysis through a data enhancement framework.,Yi Luo; Meiyi Yang; Xiaoying Liu; Liufeng Qin; Zhengjun Yu; Yunxia Gao; Xia Xu; Guofen Zha; Xuehua Zhu; Gang Chen; Xue Wang; Lulu Cao; Yuwang Zhou; Yun Fang,10.3389/fonc.2024.1440881,http://dx.doi.org/10.3389/fonc.2024.1440881,yes,
advances in fetal cardiac imaging and intervention.,Nathaniel Barber; Lindsay Freud,10.1016/j.cjcpc.2023.10.012,http://dx.doi.org/10.1016/j.cjcpc.2023.10.012,,
advances in ultrasound-based imaging for diagnosis of endometrial cancer.,Mohamad Tlais; Hussein Hamze; Ali Hteit; Karim Haddad; Issam El Fassih; Issa Zalzali; Sally Mahmoud; Sabine Karaki; Diana Jabbour,10.4329/wjr.v17.i9.111493,http://dx.doi.org/10.4329/wjr.v17.i9.111493,no,
ai based system to detect uterine cancer using ultrasound images,S. Maheswari; M. Ponnibala; S. Govindaraj; S. N. Priyadharshini; T. Shobika; D. Swetha,10.1109/ICKECS61492.2024.10617259,,,
an ai method to predict pregnancy loss by extracting biological indicators from embryo ultrasound recordings in early pregnancy.,Lijue Liu; Yuan Zang; Huimu Zheng; Siya Li; Yu Song; Xue Feng; Xiyuan Zhang; Yaoxu Li; Lulu Cao; Guanglin Zhou; Tingting Dong; Qi Huang; Teng Pan; Jinhai Deng; Danling Cheng,10.1038/s41598-025-11518-5,http://dx.doi.org/10.1038/s41598-025-11518-5,,
an evaluation of cervical maturity for chinese women with labor induction by machine learning and ultrasound images.,Yan-Song Liu; Shan Lu; Hong-Bo Wang; Zheng Hou; Chun-Yu Zhang; Yi-Wen Chong; Shuai Wang; Wen-Zhong Tang; Xiao-Lei Qu; Yan Zhang,10.1186/s12884-023-06023-4,http://dx.doi.org/10.1186/s12884-023-06023-4,,
an intelligent computer aided diagnosis system for classification of ovarian masses using machine learning approach,Smital D. Patil; Pramod J. Deore; Vaishali Bhagwat Patil,10.54392/irjmt2434,http://dx.doi.org/10.54392/irjmt2434,yes,
an ultrasound-based machine learning model for predicting pelvic adhesions: a shap-enhanced xgboost approach.,Yanyan Huang; Shanshan Su; Jiemin Chen; Xiaoqian Zhang; Kailing Tan; Qiuling Guo,10.1177/20552076261416797,http://dx.doi.org/10.1177/20552076261416797,,
analysis of ultrasound parameters influencing endometrial receptivity and a pregnancy outcomes predictive model for patients undergoing in vitro fertilization and embryo transfer: a prospective study.,Chunlian Wang; Jiao Lin; Xingping Zhao; Ni Liu; Pengzi Sun; Jiaoli Yang; Xue Zhou,10.3389/fendo.2025.1677593,http://dx.doi.org/10.3389/fendo.2025.1677593,,
application of artificial intelligence to ultrasound imaging for benign gynecological disorders: systematic review.,F Moro; M T Giudice; M Ciancia; D Zace; G Baldassari; M Vagni; H E Tran; G Scambia; A C Testa,10.1002/uog.29171,http://dx.doi.org/10.1002/uog.29171,,
application of deep learning model in the sonographic diagnosis of uterine adenomyosis,Diego Raimondo; Antonio Raffone; Anna Chiara Aru; Matteo Giorgi; Ilaria Giaquinto; Emanuela Spagnolo; Antonio Travaglino; Federico A. Galatolo; Mario G. C. A. Cimino; Gabriele Centini; Lucia Lazzeri; Antonio Mollo; Renato Seracchioli; Paolo Casadio,10.21203/rs.3.rs-2176240/v1,http://dx.doi.org/10.21203/rs.3.rs-2176240/v1,no,already included
application of deep learning model in the sonographic diagnosis of uterine adenomyosis.,Diego Raimondo; Antonio Raffone; Anna Chiara Aru; Matteo Giorgi; Ilaria Giaquinto; Emanuela Spagnolo; Antonio Travaglino; Federico Andrea Galatolo; Mario Giovanni Cosimo Antonio Cimino; Jacopo Lenzi; Gabriele Centini; Lucia Lazzeri; Antonio Mollo; Renato Seracchioli; Paolo Casadio,10.3390/ijerph20031724,http://dx.doi.org/10.3390/ijerph20031724,no,already included
"application of ultrasound in combination with other methods in gynecological disease: artificial intelligence, surgery, and drugs.",Shaohua Shi; Chengcheng Dai; Demin Liu; Xingjie Liu,10.3389/fonc.2025.1567024,http://dx.doi.org/10.3389/fonc.2025.1567024,,
applications of advanced ultrasound technology in obstetrics.,Kwok-Yin Leung,10.3390/diagnostics11071217,http://dx.doi.org/10.3390/diagnostics11071217,,
