PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"40167644","Artificial intelligence applications in endometriosis imaging","Mittal S, Tong A, Young S, Jha P.","Abdom Radiol (NY). 2025 Oct;50(10):4901-4913. doi: 10.1007/s00261-025-04897-w. Epub 2025 Apr 1.","Mittal S","Abdom Radiol (NY)","2025","2025/04/01","","","10.1007/s00261-025-04897-w"
"39121648","Automatic diagnosis for adenomyosis in ultrasound images by deep neural networks","Zhao Q, Yang T, Xu C, Hu J, Shuai Y, Zou H, Hu W.","Eur J Obstet Gynecol Reprod Biol. 2024 Oct;301:128-134. doi: 10.1016/j.ejogrb.2024.07.046. Epub 2024 Aug 2.","Zhao Q","Eur J Obstet Gynecol Reprod Biol","2024","2024/08/09","","","10.1016/j.ejogrb.2024.07.046"
"41576324","Artificial Intelligence in Gynecologic Imaging","Briggs M, Saif A, L Kline T, VanBuren W, Cohen Rassier SL, Green IC.","Clin Obstet Gynecol. 2026 Mar 1;69(1):26-35. doi: 10.1097/GRF.0000000000000984. Epub 2026 Jan 6.","Briggs M","Clin Obstet Gynecol","2026","2026/01/23","","","10.1097/GRF.0000000000000984"
"38792490","Artificial Intelligence in the Management of Women with Endometriosis and Adenomyosis: Can Machines Ever Be Worse Than Humans?","Cetera GE, Tozzi AE, Chiappa V, Castiglioni I, Merli CEM, Vercellini P.","J Clin Med. 2024 May 16;13(10):2950. doi: 10.3390/jcm13102950.","Cetera GE","J Clin Med","2024","2024/05/25","PMC11121846","","10.3390/jcm13102950"
"36767092","Application of Deep Learning Model in the Sonographic Diagnosis of Uterine Adenomyosis","Raimondo D, Raffone A, Aru AC, Giorgi M, Giaquinto I, Spagnolo E, Travaglino A, Galatolo FA, Cimino MGCA, Lenzi J, Centini G, Lazzeri L, Mollo A, Seracchioli R, Casadio P.","Int J Environ Res Public Health. 2023 Jan 18;20(3):1724. doi: 10.3390/ijerph20031724.","Raimondo D","Int J Environ Res Public Health","2023","2023/02/11","PMC9914280","","10.3390/ijerph20031724"
"33873085","Artificial intelligence (AI) in the detection of rectosigmoid deep endometriosis","Guerriero S, Pascual M, Ajossa S, Neri M, Musa E, Graupera B, Rodriguez I, Alcazar JL.","Eur J Obstet Gynecol Reprod Biol. 2021 Jun;261:29-33. doi: 10.1016/j.ejogrb.2021.04.012. Epub 2021 Apr 14.","Guerriero S","Eur J Obstet Gynecol Reprod Biol","2021","2021/04/19","","","10.1016/j.ejogrb.2021.04.012"
"39382305","Correlation of adenomyosis features to live birth rates after the first IVF/ICSI treatment, when using the revised Morphological Uterus Sonographic Assessment group definitions","Alson S, Henic E, Hansson SR, Sladkevicius P.","Acta Obstet Gynecol Scand. 2024 Dec;103(12):2540-2553. doi: 10.1111/aogs.14986. Epub 2024 Oct 9.","Alson S","Acta Obstet Gynecol Scand","2024","2024/10/09","PMC11609986","","10.1111/aogs.14986"
"40708430","Development and validation of MRI-based radiomics model for clinical symptom stratification of extrinsic adenomyosis","Sun M, Wang J, Xu P, Zhu L, Zou G, Chen S, Liu Y, Zhang X.","Ann Med. 2025 Dec;57(1):2534521. doi: 10.1080/07853890.2025.2534521. Epub 2025 Jul 25.","Sun M","Ann Med","2025","2025/07/25","PMC12302386","","10.1080/07853890.2025.2534521"
"38845295","Multi-machine Learning Model Based on Habitat Subregions for Outcome Prediction in Adenomyosis Treated by Uterine Artery Embolization","Jin W, Wang S, Wang T, Zhang D, Wang Y, Zhang G.","Acad Radiol. 2024 Dec;31(12):4985-4995. doi: 10.1016/j.acra.2024.05.037. Epub 2024 Jun 6.","Jin W","Acad Radiol","2024","2024/06/07","","","10.1016/j.acra.2024.05.037"
"41374393","Urine and Serum miRNA Signatures for the Non-Invasive Diagnosis of Adenomyosis: A Machine Learning-Based Pilot Study","Kupec T, Wittenborn J, Kuo CC, Senger R, Meyer-Wilmes P, Najjari L, Stickeler E, Maurer J.","Diagnostics (Basel). 2025 Nov 26;15(23):3012. doi: 10.3390/diagnostics15233012.","Kupec T","Diagnostics (Basel)","2025","2025/12/11","PMC12691541","","10.3390/diagnostics15233012"
"38673617","MRI-Based Radiomics as a Promising Noninvasive Diagnostic Technique for Adenomyosis","Burla L, Sartoretti E, Mannil M, Seidel S, Sartoretti T, Krentel H, De Wilde RL, Imesch P.","J Clin Med. 2024 Apr 18;13(8):2344. doi: 10.3390/jcm13082344.","Burla L","J Clin Med","2024","2024/04/27","PMC11051471","","10.3390/jcm13082344"
"39544359","Digital Twin of the Female Pelvic Floor","Egorov V.","Open J Obstet Gynecol. 2024 Nov;14(11):1687-1694. doi: 10.4236/ojog.2024.1411138. Epub 2024 Nov 6.","Egorov V","Open J Obstet Gynecol","2024","2024/11/15","PMC11563172","NIHMS2034229","10.4236/ojog.2024.1411138"
"40976116","Multiparametric magnetic resonance imaging (MRI)-based interpretable radiomics machine learning model for outcome prediction in adenomyosis treated by high-intensity focussed ultrasound","Liu ZY, Liu ZY, Wan XY, Wang Y, Huang XH.","Clin Radiol. 2025 Nov;90:107058. doi: 10.1016/j.crad.2025.107058. Epub 2025 Aug 23.","Liu ZY","Clin Radiol","2025","2025/09/21","","","10.1016/j.crad.2025.107058"
"38441701","Prediction of Ablation Rate for High-Intensity Focused Ultrasound Therapy of Adenomyosis in MR Images Based on Multi-model Fusion","Ying J, Jing X, Gao F, Cheng J, Fu L, Yang H.","J Imaging Inform Med. 2024 Aug;37(4):1579-1590. doi: 10.1007/s10278-024-01063-4. Epub 2024 Mar 5.","Ying J","J Imaging Inform Med","2024","2024/03/05","PMC11300765","","10.1007/s10278-024-01063-4"
"40215887","FreqYOLO: A uterine disease detection network based on local and global frequency feature learning","Huang Z, Lin S, Liao K, Wang Y, Zhang M, Li L, Wu M, Deng K, Wang Q.","Comput Med Imaging Graph. 2025 Jul;123:102545. doi: 10.1016/j.compmedimag.2025.102545. Epub 2025 Apr 4.","Huang Z","Comput Med Imaging Graph","2025","2025/04/11","","","10.1016/j.compmedimag.2025.102545"
"40785103","The role of shear wave elastography in predicting clinical symptoms in adenomyosis: A prospective observational study with a machine learning approach","Zorlu U, Yılmazer Zorlu SN, Elmas B.","J Obstet Gynaecol Res. 2025 Aug;51(8):e70037. doi: 10.1111/jog.70037.","Zorlu U","J Obstet Gynaecol Res","2025","2025/08/11","","","10.1111/jog.70037"
