"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Early Uterine Cancer Detection Using Ultrasound Images by Different Machine Learning Techniques","S. Tekale; S. P. Kosbatwar; J. G. M. Britto; V. Chauhan; A. Dargar; A. Gupta","Department of CSE(AIML), Nalla Malla Reddy Engineering College, Hyderabad, India; Department of Computer Engineering, Dr.D.Y. Patil Technical Campus, India; Department of CSE-DS, Malla Reddy College of Engineering, Hyderabad, India; School of Management and Commerce, Malla Reddy University, Hyderabad, Telangana, India; Department of ECE, Kalasalingam Academy of Research and Education, Tamil Nadu, India; Department of AI and ML, J. B. Institute of Engineering and Technology, Hyderabad, Telangana, India",2025 Global Conference on Information Technology and Communication Networks (GITCON),"12 Feb 2026","2025","","","1","5","The most frequent gynaecologic cancer in developed countries is uterine cancer, which is the second most prevalent in underdeveloped nations. Most women who are diagnosed with endometrial cancer do so with early-stage malignancies, which are linked to favourable prognoses.A subset of women with early-stage uterine cancer, however, are more likely to die and have recurrence. This is an important global health hazard, impacting over 382,000 women globally yearly and adding to a worrisome 90,000 annual fatality rate. Through tackling the worldwide issue of uterine cancer diagnosis, this research not only advances healthcare technology but also has the potential to save lives globally.In order to meet the pressing demand for better uterine cancer diagnosis, the suggested research introduces a unique machine learning-based ultrasound image processing method. This system automatically detects suspicious areas in ultrasound pictures by utilizing cutting-edge deep learning algorithms and image processing methodologies. The model helps with early detection and prompt intervention by differentiating between normal and malignant tissue by extracting pertinent traits and patterns.The proposed paper results should lead to better early identification of uterine cancer and a more accurate classification of the disease as benign, malignant, and subcategorized benign as fibroid, water molecules, normal cells, and ending on their characteristics, malignant with their sub stages, resulting in more efficient therapies and ultimately preserving human life. Additionally, the approach created can be used as a basis for related applications in computer-aided diagnostics and medical imaging, furthering the advancement of healthcare technology.","","979-8-3315-3348-9","10.1109/GITCON65266.2025.11376852","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11376852","ultrasound imaging;machine learning;artificial intelligence;uterine cancer;data science;computer vision;medical imaging;endometrial cancer","Water;Ultrasonic imaging;Machine learning algorithms;Accuracy;Feature extraction;Cancer detection;Classification algorithms;Reliability;Cancer;Biomedical imaging","","","","16","IEEE","12 Feb 2026","29-31 Aug. 2025","29-31 Aug. 2025","IEEE","IEEE Conferences"
"Multi-StudentNet: a Semi-supervised Deep-Learning Framework for Endometrial Segmentation in Transvaginal Ultrasound Images","B. Peng; Y. Liu; X. Zhu; J. Huang; W. Wang; L. Fang; Q. Zhou","Graduate Department of Computer Science and Engineering, The University of Aizu, Aizu-Wakamatsu, Fukushima, Japan; Graduate Department of Computer Science and Engineering, The University of Aizu, Aizu-Wakamatsu, Fukushima, Japan; Department of AI Technology Development, M&D Data Science Center, Institute of Science Tokyo, Chiyodaku, Tokyo, Japan; Graduate Department of Computer Science and Engineering, Division of Information Systems, The University of Aizu, Aizu-Wakamatsu, Fukushima, Japan; Department of Obstetrics and Gynecology, Tongji Hospital Huazhong University of Science and Technology, Wuhan, Hubei, China; Department of Obstetrics and Gynecology, Tongji Hospital Huazhong University of Science and Technology, Wuhan, Hubei, China; Department of Obstetrics and Gynecology, Tongji Hospital Huazhong University of Science and Technology, Wuhan, Hubei, China","2024 IEEE International Conference on E-health Networking, Application & Services (HealthCom)","18 Feb 2025","2024","","","1","6","Semi-supervised learning (SSL) is a promising solution for the problem of insufficient medical labeled data. However, it is still a challenging task to segment transvaginal ultrasound (TVUS) images because of their poor contrast and speckle noise. In this study, we propose Multi-StudentNet, a semi-supervised deep-learning framework for endometrial segmentation in TVUS images. This method employs multiple student models to effectively integrate labeled and unlabeled data, improving the reliability and performance of segmentation while significantly reducing the need for extensive manual labeling. By leveraging the weights of multiple models, our framework facilitates feature sharing, which enhances model robustness. Specifically, Multi-StudentNet achieves a Dice coefficient (DSC) of 0.81 and a specificity of 0.99. Our multi-student models consistently outperform single-student models across various conditions, including normal, polyp, and cancer cases. Extensive experiments demonstrate that Multi-StudentNet achieves state-of-the-art performance in both accuracy and robustness.","","979-8-3503-5054-8","10.1109/HealthCom60970.2024.10880821","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10880821","Multi-StudentNet;Transvaginal ultrasound images;Semi-supervised learning;Semantic segmentation","Image segmentation;Ultrasonic imaging;Accuracy;Manuals;Speckle;Semisupervised learning;Robustness;Data models;Optimization;Medical diagnostic imaging","","","","19","IEEE","18 Feb 2025","18-20 Nov. 2024","18-20 Nov. 2024","IEEE","IEEE Conferences"
"Deep Learning-Based Automated Measurement of Cervical Length in Transvaginal Ultrasound Images of Pregnant Women","H. Kwon; S. Sun; H. C. Cho; H. S. Yun; S. Park; Y. J. Jung; J. -Y. Kwon; J. K. Seo","Department of Obestetrics and Gynecology, Institue of Women's Life Medical Science, Yonsei University College of Medicine, Seoul, South Korea; School of Mathematics Science, Liaocheng University, Liaocheng, China; School of Mathematics and Computing (Computational Science and Engineering), Yonsei University, Seoul, South Korea; School of Mathematics and Computing (Computational Science and Engineering), Yonsei University, Seoul, South Korea; School of Mathematics and Computing (Computational Science and Engineering), Yonsei University, Seoul, South Korea; Department of Obestetrics and Gynecology, Institue of Women's Life Medical Science, Yonsei University College of Medicine, Seoul, South Korea; Department of Obestetrics and Gynecology, Institue of Women's Life Medical Science, Yonsei University College of Medicine, Seoul, South Korea; School of Mathematics and Computing (Computational Science and Engineering), Yonsei University, Seoul, South Korea",IEEE Journal of Biomedical and Health Informatics,"5 Jun 2025","2025","29","6","3979","3988","Cervical length (CL) measurement using transvaginal ultrasound is an effective screening tool to assess the risk of preterm birth. An adequate assessment of CL is crucial, however, manual sonographic CL measurement is highly operator-dependent and cumbersome. Therefore, a reliable and reproducible automatic method for CL measurement is in high demand to reduce inter-rater variability and improve workflow. Despite the increasing use of artificial intelligence techniques in ultrasound, applying deep learning (DL) to analyze ultrasound images of the cervix remains a challenge due to low signal-to-noise ratios and difficulties in capturing the cervical canal, which appears as a thin line and with extremely low contrast against the surrounding tissues. To address these challenges, we have developed CL-Net, a novel DL network that incorporates expert anatomical knowledge to identify the cervix, similar to the approach taken by clinicians. CL-Net captures anatomical features related to CL measurement, facilitating the identification of the cervical canal. It then identifies the cervical canal and automatically provides reproducible and reliable CL measurements. CL-Net achieved a success rate of 95.5% in recognizing the cervical canal, comparable to that of human experts (96.4%). Furthermore, the differences between the CL measurements of CL-Net and ground truth were considerably smaller than those made by non-experts and were comparable to those made by experts (median 1.36 mm, IQR 0.87–2.82 mm, range 0.06–6.95 mm for straight cervix; median 1.31 mm, IQR 0.61–2.65 mm, range 0.01–8.18 mm for curved one).","2168-2208","","10.1109/JBHI.2024.3433594","Samsung Science & Technology Foundation(grant numbers:SSTF- BA1402-01); SamsungMedison Research Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10609498","Artificial intelligence;cervical length;deep learning;pregnancy;transvaginal ultrasound image","Irrigation;Ultrasonic imaging;Cervix;Ultrasonic variables measurement;Biomedical measurement;Deep learning;Length measurement;Artificial intelligence;Reproductive system","Humans;Female;Deep Learning;Pregnancy;Cervix Uteri;Cervical Length Measurement;Adult;Image Interpretation, Computer-Assisted","5","","42","CCBYNCND","25 Jul 2024","June 2025","","IEEE","IEEE Journals"
"Deep Learning Based Junctional Zone Quantification using 3D Transvaginal Ultrasound in Assisted Reproduction","N. Singhal; S. Kudavelly; G. A. Ramaraju","Samsung Research, Bangalore, India; Samsung Research, Bangalore, India; Krishna IVF Clinic, Visakhapatnam, India",2020 42nd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),"27 Aug 2020","2020","","","2133","2136","The Uterine Junctional Zone (JZ) is identified as an important anatomical region in the implantation process during assisted reproduction. The JZ changes throughout the hormone stimulation cycle and has predictive value for implantation success. Despite advances in imaging technique, the assessment of JZ remains an enigma. The state-of-the-art method to assess the JZ is largely manual, which is time consuming, depends on operator experience, and often introduces subjective bias in assessment. In this paper, we present methods for automated visualization and quantification of the JZ in three-dimensional transvaginal ultrasound imaging (3D-TVUS). JZ is best visualized in the midcoronal plane of the 3D-TVUS uterus acquisition. We propose an algorithm pipeline, which uses a deep learning model to generate a point cloud representing the surface of the endometrium. A regularized midcoronal surface passing through the point cloud is rendered to obtain the midcoronal plane. The automated solution is designed to accommodate multiple structural deformations and pathologies in the uterus. An expert assisted reproduction clinician on 136 3D-TVUS volumes evaluated the results, and reliable performance was observed in more than 89% cases where the automated solution is able to reproduce, and sometimes even outperform the manual workflow. Automation speeds up the clinical workflow approximately by a factor of ten and reduces operator bias.","2694-0604","978-1-7281-1990-8","10.1109/EMBC44109.2020.9175358","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9175358","","Three-dimensional displays;Visualization;Surface fitting;Manuals;Machine learning;Ultrasonic imaging;Embryo","Deep Learning;Embryo Implantation;Endometrium;Female;Humans;Ultrasonography;Uterus","8","","14","IEEE","27 Aug 2020","20-24 July 2020","20-24 July 2020","IEEE","IEEE Conferences"
"Prediction of embryo implantation by machine learning based on ultrasound strain imaging","F. Sammali; C. Blank; T. H. G. F. Bakkes; Y. Huang; C. Rabotti; B. C. Schoot; M. Mischi","Dept. of Electrical Engineering, Eindhoven University of Technology, Eindhoven, the Netherlands; Dept. of Electrical Engineering, Eindhoven University of Technology, Eindhoven, the Netherlands; Dept. of Electrical Engineering, Eindhoven University of Technology, Eindhoven, the Netherlands; Dept. of Electrical Engineering, Eindhoven University of Technology, Eindhoven, the Netherlands; Dept. of Electrical Engineering, Eindhoven University of Technology, Eindhoven, the Netherlands; Dept. of Reproductive Medicine, Ghent University Hospital, Ghent, Belgium; Dept. of Electrical Engineering, Eindhoven University of Technology, Eindhoven, the Netherlands",2019 IEEE International Ultrasonics Symposium (IUS),"8 Dec 2019","2019","","","1141","1144","Because of the trend to postpone childbirth, the rate of couples dealing with infertility is rapidly increasing and approaching 20%. In-vitro fertilization (IVF) represents the only reproduction option in Europe for 2.5 million couples. However, its success rate remains below 30%. There is clear consensus on a major involvement of uterine contractions in IVF failure, especially during and after embryo transfer. Quantitative and non-invasive measurement of uterine (peristaltic) activity, combined with accurate interpretation and classification methods, can provide an important contribution towards improved IVF success rates. Therefore, this study investigates the use of machine learning for probabilistic classification of the uterine activity, as either favorable or adverse to embryo implantation. The results obtained in 16 patients undergoing an IVF cycle confirm the ability to predict successful embryo implantation by ultrasound uterine motion analysis combined with machine learning.","1948-5727","978-1-7281-4596-9","10.1109/ULTSYM.2019.8926228","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8926228","machine learning;in-vitro fertilization;uterine motion;speckle tracking;feature selection;medical ultrasound","Feature extraction;Machine learning;Embryo;Speckle;Tracking;Pregnancy;Ultrasonic imaging","","3","","13","IEEE","8 Dec 2019","6-9 Oct. 2019","6-9 Oct. 2019","IEEE","IEEE Conferences"
"Pattern Recognition for Uterine Fibroid Detection","W. Y. Leong; Y. Z. Leong; W. S. Leong","INTI International University, Persiaran Perdana BBN Putra Nilai, Nilai, Malaysia; Schneider Electric Singapore Pte. Ltd., Singapore; Schneider Electric Singapore Pte. Ltd., Singapore","2024 IEEE 6th Eurasia Conference on Biomedical Engineering, Healthcare and Sustainability (ECBIOS)","20 Feb 2025","2024","","","100","104","Pattern recognition plays a significant role in the detection of uterine fibroids through various medical imaging modalities such as ultrasound, Magnetic Resonance Imaging (MRI), and computed tomography (CT) scans. Ultrasound imaging helps identify hypoechoic masses within the uterine muscle layer, while MRI provides detailed images showing well-defined masses with characteristic signal intensities on Tl-weighted and T2-weighted sequences. CT imaging, though less common, is used to detect fibroids based on hypodense masses within the uterus or pelvic cavity. Computer-aided diagnosis (CAD) systems and advanced machine-learning algorithms aid in automating the detection and characterization of fibroids by analyzing image features such as shape, texture, and intensity. These pattern recognition techniques facilitate early diagnosis and accurate assessment of uterine fibroids, enabling timely management and treatment of this prevalent gynecological condition.","","979-8-3503-9613-3","10.1109/ECBIOS61468.2024.10883764","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10883764","innovative process;pattern recognition;uterine fibroids;medical imaging;ultrasound","Ultrasonic imaging;Accuracy;Shape;Magnetic resonance imaging;Computed tomography;Uterus;Streaming media;Pattern recognition;Reliability;Sustainable development","","1","","23","IEEE","20 Feb 2025","14-16 June 2024","14-16 June 2024","IEEE","IEEE Conferences"
"An Analogy of Endometriosis Recognition Using Machine Learning Techniques","S. Visalaxi; D. Punnoose; T. S. Muthu","Department of Computer Science and Engineering, Hindustan Institute of Technology and Science, Padur, Chennai; Department of Computer Science and Engineering, Hindustan Institute of Technology and Science, Padur, Chennai; Department of Computer Science and Engineering, Hindustan Institute of Technology and Science, Padur, Chennai",2021 Third International Conference on Intelligent Communication Technologies and Virtual Mobile Networks (ICICV),"31 Mar 2021","2021","","","739","746","Endometriosis is a gynecological disorder which occurs in the age group of 15-45 years. In normal cases endometrial tissue is found inside the lining of uterus but in case f endometrium, tissue is found outside the uterus. In advanced cases these tissues may line other organs such as Kidneys, Pancreas, Liver and Intestines which is called as Deep endometriosis. Endometriosis is both symptomatic and asymptomatic. The symptoms of endometriosis is similar to other symptoms such as pelvic pain, inflammatory disease etc. Unfortunately it can be diagnosed only through laparoscopic procedures. The Laparoscopic procedures causes unrepairable wound, health challenges to the women. This paper surveys various methodologies of identifying the presence of endometriosis through the medical images using machine learning techniques includes “ Logistic Regression, Convolutional Neural network, Artificial Neural Network, Neural Network, Support Vector Machines(SVM), Naive Bayes, Decision Tree” etc.. This survey illustrated the pros and cons of the various methods.","","978-1-6654-1960-4","10.1109/ICICV50876.2021.9388403","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9388403","Logistic Regression;Neural Network;Support Vector Machine;Naïve Bayes;Machine Learning","Support vector machines;Laparoscopes;Deep learning;Machine learning algorithms;Prediction algorithms;Logistics;Cancer","","15","","17","IEEE","31 Mar 2021","4-6 Feb. 2021","4-6 Feb. 2021","IEEE","IEEE Conferences"
"Deep Learning-Based Automatic Endometrium Segmentation and Thickness Measurement for 2D Transvaginal Ultrasound","S. -Y. Hu; H. Xu; Q. Li; B. A. Telfer; L. J. Brattain; A. E. Samir","Division of Ultrasound, Massachusetts General Hospital, Boston, MA, USA; Division of Ultrasound, Massachusetts General Hospital, Boston, MA, USA; Division of Ultrasound, Massachusetts General Hospital, Boston, MA, USA; MIT Lincoln Laboratory, Lexington, MA, USA; MIT Lincoln Laboratory, Lexington, MA, USA; Division of Ultrasound, Massachusetts General Hospital, Boston, MA, USA",2019 41st Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),"7 Oct 2019","2019","","","993","997","Endometrial thickness is closely related to gyneco-logical function and is an important biomarker in transvaginal ultrasound (TVUS) examinations for assessing female reproductive health. Manual measurement is time-consuming and subject to high inter- and intra- observer variability. In this paper, we present a fully automated endometrial thickness measurement method using deep learning. Our pipeline consists of: 1) endometrium segmentation using a VGG-based U-Net, and 2) endometrial thickness estimation using medial axis transformation. We conducted experimental studies on 137 2D TVUS cases (74/63 secretory phase/proliferative phase). On a test set of 27 cases/277 images, the segmentation Dice score is 0.83. For thickness measurement, we achieved mean absolute error of 1.23/1.38 mm and root mean squared error of 1.79/1.85 mm on two different test sets. The results are considered well within the clinically acceptable range of ±2 mm. Furthermore, our phase-stratified analysis shows that the measurement variance from the secretory phase is higher than that from the proliferative phase, largely due to the high variability of the endometrium appearance in the secretory phase. Future work will extend our current algorithm toward different clinical outcomes for a broader spectrum of clinical applications.","1558-4615","978-1-5386-1311-5","10.1109/EMBC.2019.8856367","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8856367","","Thickness measurement;Ultrasonic imaging;Image segmentation;Deep learning;Two dimensional displays;Training;Pipelines","Algorithms;Deep Learning;Endometrium;Female;Humans;Observer Variation;Ultrasonography","9","","27","IEEE","7 Oct 2019","23-27 July 2019","23-27 July 2019","IEEE","IEEE Conferences"
"Prediction Model for Preterm Birth Using Deep Learning","A. R. Bhoi; G. Talmale; P. Khobragade","Departemnt of Computer Science and Engineering, G H Raisoni College of Engineering, Nagpur, India; Departemnt of Computer Science and Engineering, G H Raisoni College of Engineering, Nagpur, India; Departemnt of Computer Science and Engineering, G H Raisoni College of Engineering, Nagpur, India",2024 International Conference on Artificial Intelligence and Quantum Computation-Based Sensor Application (ICAIQSA),"21 Feb 2025","2024","","","1","12","The pregnancy women reaches to 40 weeks which is the average for gestation period. The only issue will sometimes be the possibility of preterm birth but otherwise it is not a major thing. This is because birth of a neonate delivered before 37 weeks of gestational period is termed as premature birth. Preterm birth is harmful to the health of both an infant child and a mother. Babies have health problems such as physical conditions, brain and development issues, delays continued over years in growth and weight gain, vulnerability to long-term effects of chronic diseases. Motherhood is an issue that has physical health implications, emotional and psychological impacts, family dynamics impact. This is a global problem. With the deficiency of healthcare facilities in rural India, things only get worse. Preterm labour is caused by a combination of factors relating to the mother, medical conditions and type of medication. In this paper, we outline the approaches for a deep learning model to predict preterm birth. Deep learning is an emerging technology that can help with things like this in healthcare. We have present an early-warning prediction model which will inform being analyzed from the lens of immaturity risk with solutions for maternal health sensitive indicators and associated patterns to predict premature birth in expected schools. These findings will help in risk stratification and prediction which may be based on various predictive factors (as EHR, EHG, Trans-vaginal U/S etc).","","979-8-3315-1795-3","10.1109/ICAIQSA64000.2024.10882273","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10882273","Preterm birth;Deep learning;Prediction Model;Electronic Health Record (EHR);ElectroHysterography (EHG);Trans-vaginal Ultrasound","Deep learning;Pregnancy;Pediatrics;Ultrasonic imaging;Accuracy;Quantum computing;Psychology;Predictive models;Data models;Reliability","","","","40","IEEE","21 Feb 2025","20-21 Dec. 2024","20-21 Dec. 2024","IEEE","IEEE Conferences"
"AI Based System to Detect Uterine Cancer using Ultrasound Images","S. Maheswari; M. Ponnibala; S. Govindaraj; S. N. Priyadharshini; T. Shobika; D. Swetha","Department of Biomedical Engineering, Velalar College of Engineering & Technology, Erode, India; Department of Biomedical Engineering, Velalar College of Engineering & Technology, Erode, India; Department of Biomedical Engineering, Velalar College of Engineering & Technology, Erode, India; Department of Biomedical Engineering, Velalar College of Engineering & Technology, Erode, India; Department of Biomedical Engineering, Velalar College of Engineering & Technology, Erode, India; Department of Biomedical Engineering, Velalar College of Engineering & Technology, Erode, India",2024 International Conference on Knowledge Engineering and Communication Systems (ICKECS),"7 Aug 2024","2024","1","","1","9","Uterine cancers are the most common gynaecologic malignancies in developed countries and the second most common in developing countries. The vast majority of women with endometrial cancer are diagnosed with early stage tumors that are associated with a good prognosis. However, a subgroup of women with early stage uterine cancer face recurrence and are at an increased risk of death. This poses a significant global health challenge, affecting approximately 382,000 women worldwide each year and contributing to a concerning mortality rate of approximately 90,000 annually. By addressing the global challenge of uterine cancer detection, here this project not only contributes to advancing healthcare technology but also holds the promise of saving lives on a global scale. This project addresses the urgent need for improved uterine cancer detection by introducing a novel machine learning-based system for the analysis of ultrasound images. This system leverages state-of-the-art deep learning techniques and image processing methods to automatically identify suspicious regions within ultrasound images. By extracting relevant features and patterns, the model distinguishes between normal and cancerous tissue, aiding in the early diagnosis and timely intervention. The outcomes of the project hold the promise of improving the early detection of uterine cancer and classifying it as benign, malignant and sub classified the benign as fibroid, water molecules, normal cells and malignant with their substages based on their features, leading to more effective treatments and ultimately saving lives. Furthermore, the methodology developed can serve as a foundation for similar applications in medical imaging and computer-aided diagnosis, advancing the field of healthcare technology.","","979-8-3503-5968-8","10.1109/ICKECS61492.2024.10617259","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10617259","ultrasound imaging;machine learning;artificial intelligence;uterine cancer;data science;computer vision;medical imaging;endometrial cancer","Support vector machines;Radio frequency;Ultrasonic imaging;Medical services;Feature extraction;Cancer detection;Prognostics and health management","","7","","13","IEEE","7 Aug 2024","18-19 April 2024","18-19 April 2024","IEEE","IEEE Conferences"
