PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36767092","Application of Deep Learning Model in the Sonographic Diagnosis of Uterine Adenomyosis","Raimondo D, Raffone A, Aru AC, Giorgi M, Giaquinto I, Spagnolo E, Travaglino A, Galatolo FA, Cimino MGCA, Lenzi J, Centini G, Lazzeri L, Mollo A, Seracchioli R, Casadio P.","Int J Environ Res Public Health. 2023 Jan 18;20(3):1724. doi: 10.3390/ijerph20031724.","Raimondo D","Int J Environ Res Public Health","2023","2023/02/11","PMC9914280","","10.3390/ijerph20031724"
"38182443","A Transvaginal Ultrasound-Based Deep Learning Model for the Noninvasive Diagnosis of Myometrial Invasion in Patients with Endometrial Cancer: Comparison with Radiologists","Liu X, Qin X, Luo Q, Qiao J, Xiao W, Zhu Q, Liu J, Zhang C.","Acad Radiol. 2024 Jul;31(7):2818-2826. doi: 10.1016/j.acra.2023.12.035. Epub 2024 Jan 5.","Liu X","Acad Radiol","2024","2024/01/05","","","10.1016/j.acra.2023.12.035"
"31946060","Deep Learning-Based Automatic Endometrium Segmentation and Thickness Measurement for 2D Transvaginal Ultrasound","Hu SY, Xu H, Li Q, Telfer BA, Brattain LJ, Samir AE.","Annu Int Conf IEEE Eng Med Biol Soc. 2019 Jul;2019:993-997. doi: 10.1109/EMBC.2019.8856367.","Hu SY","Annu Int Conf IEEE Eng Med Biol Soc","2019","2020/01/18","","","10.1109/EMBC.2019.8856367"
"38941903","Automatic Segmentation and Alignment of Uterine Shapes from 3D Ultrasound Data","Boneš E, Gergolet M, Bohak C, Lesar Ž, Marolt M.","Comput Biol Med. 2024 Aug;178:108794. doi: 10.1016/j.compbiomed.2024.108794. Epub 2024 Jun 27.","Boneš E","Comput Biol Med","2024","2024/06/28","","","10.1016/j.compbiomed.2024.108794"
"41223242","Automatic uterus segmentation in transvaginal ultrasound using U-Net and nnU-Net","Tank D, Schor BGS, Trommelen LM, Huirne JAF, Calixto I, de Leeuw RA.","PLoS One. 2025 Nov 12;20(11):e0336237. doi: 10.1371/journal.pone.0336237. eCollection 2025.","Tank D","PLoS One","2025","2025/11/12","PMC12611126","","10.1371/journal.pone.0336237"
"33018428","Deep Learning Based Junctional Zone Quantification using 3D Transvaginal Ultrasound in Assisted Reproduction","Singhal N, Kudavelly S, Ramaraju GA.","Annu Int Conf IEEE Eng Med Biol Soc. 2020 Jul;2020:2133-2136. doi: 10.1109/EMBC44109.2020.9175358.","Singhal N","Annu Int Conf IEEE Eng Med Biol Soc","2020","2020/10/06","","","10.1109/EMBC44109.2020.9175358"
"38097857","Deep learning algorithm for predicting preterm birth in the case of threatened preterm labor admissions using transvaginal ultrasound","Ohtaka A, Akazawa M, Hashimoto K.","J Med Ultrason (2001). 2024 Apr;51(2):323-330. doi: 10.1007/s10396-023-01394-9. Epub 2023 Dec 15.","Ohtaka A","J Med Ultrason (2001)","2024","2023/12/15","","","10.1007/s10396-023-01394-9"
"37518185","A new model based on artificial intelligence to screening preterm birth","Andrade Júnior VL, França MS, Santos RAF, Hatanaka AR, Cruz JJ, Hamamoto TEK, Traina E, Sarmento SGP, Elito Júnior J, Pares DBDS, Mattar R, Araujo Júnior E, Moron AF.","J Matern Fetal Neonatal Med. 2023 Dec;36(2):2241100. doi: 10.1080/14767058.2023.2241100.","Andrade Júnior VL","J Matern Fetal Neonatal Med","2023","2023/07/30","","","10.1080/14767058.2023.2241100"
"39089731","Artificial intelligence model for enhancing the accuracy of transvaginal ultrasound in detecting endometrial cancer and endometrial atypical hyperplasia","Capasso I, Cucinella G, Wright DE, Takahashi H, De Vitis LA, Gregory AV, Kim B, Reynolds E, Fumagalli D, Occhiali T, Fought AJ, McGree ME, Packard AT, Causa Andrieu PI, Fanfani F, Scambia G, Langstraat CL, Famuyide A, Breitkopf DM, Mariani A, Glaser GE, Kline TL.","Int J Gynecol Cancer. 2024 Oct 7;34(10):1547-1555. doi: 10.1136/ijgc-2024-005652.","Capasso I","Int J Gynecol Cancer","2024","2024/08/01","","","10.1136/ijgc-2024-005652"
"31230366","Endometrium segmentation on transvaginal ultrasound image using key-point discriminator","Park H, Lee HJ, Kim HG, Ro YM, Shin D, Lee SR, Kim SH, Kong M.","Med Phys. 2019 Sep;46(9):3974-3984. doi: 10.1002/mp.13677. Epub 2019 Jul 31.","Park H","Med Phys","2019","2019/06/24","","","10.1002/mp.13677"
