"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Deep Learning-Based Automated Measurement of Cervical Length in Transvaginal Ultrasound Images of Pregnant Women","H. Kwon; S. Sun; H. C. Cho; H. S. Yun; S. Park; Y. J. Jung; J. -Y. Kwon; J. K. Seo","Department of Obestetrics and Gynecology, Institue of Women's Life Medical Science, Yonsei University College of Medicine, Seoul, South Korea; School of Mathematics Science, Liaocheng University, Liaocheng, China; School of Mathematics and Computing (Computational Science and Engineering), Yonsei University, Seoul, South Korea; School of Mathematics and Computing (Computational Science and Engineering), Yonsei University, Seoul, South Korea; School of Mathematics and Computing (Computational Science and Engineering), Yonsei University, Seoul, South Korea; Department of Obestetrics and Gynecology, Institue of Women's Life Medical Science, Yonsei University College of Medicine, Seoul, South Korea; Department of Obestetrics and Gynecology, Institue of Women's Life Medical Science, Yonsei University College of Medicine, Seoul, South Korea; School of Mathematics and Computing (Computational Science and Engineering), Yonsei University, Seoul, South Korea",IEEE Journal of Biomedical and Health Informatics,"5 Jun 2025","2025","29","6","3979","3988","Cervical length (CL) measurement using transvaginal ultrasound is an effective screening tool to assess the risk of preterm birth. An adequate assessment of CL is crucial, however, manual sonographic CL measurement is highly operator-dependent and cumbersome. Therefore, a reliable and reproducible automatic method for CL measurement is in high demand to reduce inter-rater variability and improve workflow. Despite the increasing use of artificial intelligence techniques in ultrasound, applying deep learning (DL) to analyze ultrasound images of the cervix remains a challenge due to low signal-to-noise ratios and difficulties in capturing the cervical canal, which appears as a thin line and with extremely low contrast against the surrounding tissues. To address these challenges, we have developed CL-Net, a novel DL network that incorporates expert anatomical knowledge to identify the cervix, similar to the approach taken by clinicians. CL-Net captures anatomical features related to CL measurement, facilitating the identification of the cervical canal. It then identifies the cervical canal and automatically provides reproducible and reliable CL measurements. CL-Net achieved a success rate of 95.5% in recognizing the cervical canal, comparable to that of human experts (96.4%). Furthermore, the differences between the CL measurements of CL-Net and ground truth were considerably smaller than those made by non-experts and were comparable to those made by experts (median 1.36 mm, IQR 0.87–2.82 mm, range 0.06–6.95 mm for straight cervix; median 1.31 mm, IQR 0.61–2.65 mm, range 0.01–8.18 mm for curved one).","2168-2208","","10.1109/JBHI.2024.3433594","Samsung Science & Technology Foundation(grant numbers:SSTF- BA1402-01); SamsungMedison Research Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10609498","Artificial intelligence;cervical length;deep learning;pregnancy;transvaginal ultrasound image","Irrigation;Ultrasonic imaging;Cervix;Ultrasonic variables measurement;Biomedical measurement;Deep learning;Length measurement;Artificial intelligence;Reproductive system","Humans;Female;Deep Learning;Pregnancy;Cervix Uteri;Cervical Length Measurement;Adult;Image Interpretation, Computer-Assisted","5","","42","CCBYNCND","25 Jul 2024","June 2025","","IEEE","IEEE Journals"
"An Analogy of Endometriosis Recognition Using Machine Learning Techniques","S. Visalaxi; D. Punnoose; T. S. Muthu","Department of Computer Science and Engineering, Hindustan Institute of Technology and Science, Padur, Chennai; Department of Computer Science and Engineering, Hindustan Institute of Technology and Science, Padur, Chennai; Department of Computer Science and Engineering, Hindustan Institute of Technology and Science, Padur, Chennai",2021 Third International Conference on Intelligent Communication Technologies and Virtual Mobile Networks (ICICV),"31 Mar 2021","2021","","","739","746","Endometriosis is a gynecological disorder which occurs in the age group of 15-45 years. In normal cases endometrial tissue is found inside the lining of uterus but in case f endometrium, tissue is found outside the uterus. In advanced cases these tissues may line other organs such as Kidneys, Pancreas, Liver and Intestines which is called as Deep endometriosis. Endometriosis is both symptomatic and asymptomatic. The symptoms of endometriosis is similar to other symptoms such as pelvic pain, inflammatory disease etc. Unfortunately it can be diagnosed only through laparoscopic procedures. The Laparoscopic procedures causes unrepairable wound, health challenges to the women. This paper surveys various methodologies of identifying the presence of endometriosis through the medical images using machine learning techniques includes “ Logistic Regression, Convolutional Neural network, Artificial Neural Network, Neural Network, Support Vector Machines(SVM), Naive Bayes, Decision Tree” etc.. This survey illustrated the pros and cons of the various methods.","","978-1-6654-1960-4","10.1109/ICICV50876.2021.9388403","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9388403","Logistic Regression;Neural Network;Support Vector Machine;Naïve Bayes;Machine Learning","Support vector machines;Laparoscopes;Deep learning;Machine learning algorithms;Prediction algorithms;Logistics;Cancer","","15","","17","IEEE","31 Mar 2021","4-6 Feb. 2021","4-6 Feb. 2021","IEEE","IEEE Conferences"
"Deep Learning Based Junctional Zone Quantification using 3D Transvaginal Ultrasound in Assisted Reproduction","N. Singhal; S. Kudavelly; G. A. Ramaraju","Samsung Research, Bangalore, India; Samsung Research, Bangalore, India; Krishna IVF Clinic, Visakhapatnam, India",2020 42nd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC),"27 Aug 2020","2020","","","2133","2136","The Uterine Junctional Zone (JZ) is identified as an important anatomical region in the implantation process during assisted reproduction. The JZ changes throughout the hormone stimulation cycle and has predictive value for implantation success. Despite advances in imaging technique, the assessment of JZ remains an enigma. The state-of-the-art method to assess the JZ is largely manual, which is time consuming, depends on operator experience, and often introduces subjective bias in assessment. In this paper, we present methods for automated visualization and quantification of the JZ in three-dimensional transvaginal ultrasound imaging (3D-TVUS). JZ is best visualized in the midcoronal plane of the 3D-TVUS uterus acquisition. We propose an algorithm pipeline, which uses a deep learning model to generate a point cloud representing the surface of the endometrium. A regularized midcoronal surface passing through the point cloud is rendered to obtain the midcoronal plane. The automated solution is designed to accommodate multiple structural deformations and pathologies in the uterus. An expert assisted reproduction clinician on 136 3D-TVUS volumes evaluated the results, and reliable performance was observed in more than 89% cases where the automated solution is able to reproduce, and sometimes even outperform the manual workflow. Automation speeds up the clinical workflow approximately by a factor of ten and reduces operator bias.","2694-0604","978-1-7281-1990-8","10.1109/EMBC44109.2020.9175358","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9175358","","Three-dimensional displays;Visualization;Surface fitting;Manuals;Machine learning;Ultrasonic imaging;Embryo","Deep Learning;Embryo Implantation;Endometrium;Female;Humans;Ultrasonography;Uterus","8","","14","IEEE","27 Aug 2020","20-24 July 2020","20-24 July 2020","IEEE","IEEE Conferences"
"Automated assessment of endometrium from transvaginal ultrasound using Deep Learned Snake","N. Singhal; S. Mukherjee; C. Perrey","GE Global Research, Bangalore, India; GE Global Research, Bangalore, India; GE Healthcare, Austria",2017 IEEE 14th International Symposium on Biomedical Imaging (ISBI 2017),"19 Jun 2017","2017","","","283","286","Endometrium assessment via thickness measurement is commonly performed in routine gynecological ultrasound examination for assessing the reproductive health of patients undergoing fertility related treatments and endometrium cancer screening in women with post-menopausal bleeding. This paper introduces a fully automated technique for endometrium thickness measurement from three-dimensional transvaginal ultrasound (TVUS) images. The algorithm combines the robustness of deep neural networks with the more interpretable level set method for segmentation. We propose a hybrid variational curve propagation model which embeds a deep-learned endometrium probability map in the segmentation energy functional. This solution provides approximately 30% performance improvement over a contemporary supervised learning method on a database of 59 TVUS images and the thickness measurement is found to be within ±2mm of the manual measurement in 87% of the cases.","1945-8452","978-1-5090-1172-8","10.1109/ISBI.2017.7950520","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7950520","Endometrium;ultrasound;deep learning;uterus;segmentation;level set","Image segmentation;Thickness measurement;Ultrasonic imaging;Level set;Three-dimensional displays;Training;Shape","","15","","11","IEEE","19 Jun 2017","18-21 April 2017","18-21 April 2017","IEEE","IEEE Conferences"
"Pattern Recognition for Uterine Fibroid Detection","W. Y. Leong; Y. Z. Leong; W. S. Leong","INTI International University, Persiaran Perdana BBN Putra Nilai, Nilai, Malaysia; Schneider Electric Singapore Pte. Ltd., Singapore; Schneider Electric Singapore Pte. Ltd., Singapore","2024 IEEE 6th Eurasia Conference on Biomedical Engineering, Healthcare and Sustainability (ECBIOS)","20 Feb 2025","2024","","","100","104","Pattern recognition plays a significant role in the detection of uterine fibroids through various medical imaging modalities such as ultrasound, Magnetic Resonance Imaging (MRI), and computed tomography (CT) scans. Ultrasound imaging helps identify hypoechoic masses within the uterine muscle layer, while MRI provides detailed images showing well-defined masses with characteristic signal intensities on Tl-weighted and T2-weighted sequences. CT imaging, though less common, is used to detect fibroids based on hypodense masses within the uterus or pelvic cavity. Computer-aided diagnosis (CAD) systems and advanced machine-learning algorithms aid in automating the detection and characterization of fibroids by analyzing image features such as shape, texture, and intensity. These pattern recognition techniques facilitate early diagnosis and accurate assessment of uterine fibroids, enabling timely management and treatment of this prevalent gynecological condition.","","979-8-3503-9613-3","10.1109/ECBIOS61468.2024.10883764","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10883764","innovative process;pattern recognition;uterine fibroids;medical imaging;ultrasound","Ultrasonic imaging;Accuracy;Shape;Magnetic resonance imaging;Computed tomography;Uterus;Streaming media;Pattern recognition;Reliability;Sustainable development","","1","","23","IEEE","20 Feb 2025","14-16 June 2024","14-16 June 2024","IEEE","IEEE Conferences"
"A novel algorithm for computer-assisted measurement of cervical length from transvaginal ultrasound images","Min Wu; R. F. Fraser; Chang Wen Chen","Department of Electrical and Computer Engineering, University of Missouri, Columbia, Columbia, MO, USA; Saint Johns Maternal Fetal Medicine, Springfield, MO, USA; Florida Institute of Technology, Melbourne, FL, USA",IEEE Transactions on Information Technology in Biomedicine,"3 Sep 2004","2004","8","3","333","342","The cervical length measured by transvaginal ultrasound is a proven clinical tool for predicting premature birth. The standard manual measurement of the cervix is limited by variability in the technique. In this research, we develop the first computer algorithm that is able to identify the anatomic landmarks of the cervix on a transvaginal ultrasound image and determine the standard cervical length. The system is composed of four stages: The first stage is adaptive speckle suppression using variable length sticks algorithm. The second stage is the location of the internal cervical opening or ""os"" using a region-based segmentation. The third stage is delineation of the cervical canal. The fourth stage uses gray level summation patterns and prior knowledge to first localize the tissue boundary of the external cervix, and then use a template to determine the specific location of the external os. The cervical length is determined and calculated to image scale. To validate the proposed algorithm, 101 cervical ultrasound images were selected from a series of 37 examinations performed on 17 patients over an eight-month period. Repeated measurements of cervical length using the computer-assisted method were compared with those carried out by two experienced sonographers. The median intraobserver variability for the 101 images using the computer-assisted method was significantly smaller than that of the manual method by either sonographer. In a pairwise comparison, the mean cervical length for the computer method matches with the mean manual cervical length.","1558-0032","","10.1109/TITB.2004.832548","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1331411","","Length measurement;Ultrasonic variables measurement;Ultrasonic imaging;Measurement standards;Manuals;Standards development;Speckle;Image segmentation;Irrigation;Operating systems","Algorithms;Artificial Intelligence;Cervix Uteri;Cervix Uteri;Female;Humans;Image Interpretation, Computer-Assisted;Pattern Recognition, Automated;Pregnancy;Premature Birth;Risk Assessment;Ultrasonography, Prenatal;Vagina","8","3","16","IEEE","3 Sep 2004","Sept. 2004","","IEEE","IEEE Journals"
"Evaluating Denoising Methods for 3D Ultrasound Uterus Segmentation with DynUNet","M. Habijan; J. Perić; I. Galić","Faculty of Electrical Engineering, Computer Science and Information Technology, Osijek, Croatia; Faculty of Electrical Engineering, Computer Science and Information Technology, Osijek, Croatia; Faculty of Electrical Engineering, Computer Science and Information Technology, Osijek, Croatia",2025 International Symposium ELMAR,"15 Oct 2025","2025","","","131","134","The uterus is a key reproductive organ whose morphology affects fertility and pregnancy outcomes. Recent advances in 3D transvaginal ultrasound (US) enable detailed volumetric imaging of uterine anatomy. However, automated analysis of 3D US volumes remains challenging since the uterus exhibits large inter-patient variability, US images suffer from speckle noise, low contrast, and artifacts. To address this, we propose a deep-learning (DL) pipeline for fully automatic 3D uterus segmentation using a DynUNet model. We investigate several denoising methods including contrast enhancement, filtering, wavelet denoising and learning-based denoising to evaluate their effect on the final segmentation accuracy. Our experiments demonstrate that denoising with DnCNN significantly improves segmentation performance, achieving a Dice Similarity Coefficient (DSC) of 71.95% on the test set and 11% improvement over the baseline. These results show the importance of denoising methods for robust segmentation in noisy ultrasound images.","2835-3781","979-8-3315-9679-8","10.1109/ELMAR66948.2025.11193753","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11193753","DynUNet;Medical Segmentation;Ultrasound Volumes;Ultrasound Denoising","Pregnancy;Image segmentation;Solid modeling;Ultrasonic imaging;Three-dimensional displays;Uterus;Noise reduction;Pipelines;Speckle;Noise measurement","","","","13","IEEE","15 Oct 2025","15-17 Sept. 2025","15-17 Sept. 2025","IEEE","IEEE Conferences"
"Ultrasound Texture Analysis for the Diagnosis of Adenomyosis","F. Delberghe; Z. Gong; C. D. Fernandes; C. Rees; H. Van Vliet; M. Mischi","Biomedical Diagnostics Group, Eindhoven University of Technology, Eindhoven, The Netherlands; Biomedical Diagnostics Group, Eindhoven University of Technology, Eindhoven, The Netherlands; Biomedical Diagnostics Group, Eindhoven University of Technology, Eindhoven, The Netherlands; Gynecology department, Catarina Hospital, Eindhoven, The Netherlands; Gynecology department, Catarina Hospital, Eindhoven, The Netherlands; Biomedical Diagnostics Group, Eindhoven University of Technology, Eindhoven, The Netherlands",2025 IEEE Medical Measurements & Applications (MeMeA),"10 Jul 2025","2025","","","1","6","Adenomyosis is a common gynecological disease, with transvaginal ultrasonography being the first-line imaging method to diagnose it, based on the qualitative morphological uterus sonographic assessment (MUSA). However, the accuracy of diagnosis depends largely on a clinician's expertise, and scan's quality, often requiring additional investigations by MRI. To enable wider access to accurate and robust diagnostics by ultrasonography, computer-aided diagnosis tools are promising. The use of texture features, serving as a surrogate for the human visual system, can be used to quantitatively analyze ultrasound images. In this study, histogram and gray level co-occurrence matrix features, are used to quantify the texture from 2D grayscale ultrasound images of the uterus. Then several machine learning classifiers are trained to predict the presence or adenomyosis from a dataset of 37 patients with adenomyosis and 45 healthy patients. The best performing classifier, a random forest, achieved an accuracy of 81.6%, an F1 score of 0.747, and an area under the receiver operating curve of 0.804. These metrics show promise for the future use of texture measurements in ultrasound to allow for earlier and more accurate diagnosis of adenomyosis.","2837-5882","979-8-3315-2347-3","10.1109/MeMeA65319.2025.11068108","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11068108","Adenomyosis;Ultrasound;Texture Analysis;Classification","Histograms;Accuracy;Ultrasonic variables measurement;Uterus;Magnetic resonance imaging;Ultrasonography;Receivers;Visual systems;Reliability;Random forests","","","","36","IEEE","10 Jul 2025","28-30 May 2025","28-30 May 2025","IEEE","IEEE Conferences"
"Insight into Fibroids: Cutting-Edge Detection Strategies","W. Y. Leong; Y. Z. Leong; W. S. Leong","INTI International University, Persiaran Perdana BBN Putra Nilai, Nilai, Malaysia; Schneider Electric Singapore Pte. Ltd., Singapore; Schneider Electric Singapore Pte. Ltd., Singapore","2024 IEEE 6th Eurasia Conference on Biomedical Engineering, Healthcare and Sustainability (ECBIOS)","20 Feb 2025","2024","","","85","90","We explored the forefront of detection strategies for uterine fibroids and integrated innovative methodologies to enhance diagnostic precision and clinical management. Uterine fibroids, common benign tumors affecting women of reproductive age, pose diagnostic challenges due to their varied presentation and symptomatology. Recent advancements in imaging technologies, such as magnetic resonance imaging (MRI) and ultrasound, have revolutionized fibroid detection by offering improved resolution and tissue characterization. Additionally, emerging molecular biomarkers and genetic profiling techniques hold promise for early detection and personalized treatment approaches. These cutting-edge detection strategies were reviewed, highlighting their potential to optimize patient care through earlier diagnosis, accurate characterization, and tailored therapeutic interventions. By leveraging interdisciplinary insights and technological advancements, clinicians and researchers can navigate the complex landscape of uterine fibroid detection with greater efficacy and precision, ultimately improving clinical outcomes and patient satisfaction.","","979-8-3503-9613-3","10.1109/ECBIOS61468.2024.10885518","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10885518","process innovation;uterine fibroids;detection strategy;ultrasound;magnetic resonance imaging (MRI)","Training;Accuracy;Ultrasonic imaging;Navigation;Magnetic resonance imaging;Medical services;Data models;Robustness;Resonance;Sustainable development","","1","","14","IEEE","20 Feb 2025","14-16 June 2024","14-16 June 2024","IEEE","IEEE Conferences"
"Lesion Extraction of Endometriotic images using Open Computer Vision","S. Visalaxi; D. Punnoose; T. S. Muthu","Department of Computer Science and Engineering, Hindustan Institute of Technology and Science, Padur, Chennai; Department of Computer Science and Engineering, Hindustan Institute of Technology and Science, Padur, Chennai; Department of Computer Science and Engineering, Hindustan Institute of Technology and Science, Padur, Chennai",2021 International Conference on Artificial Intelligence and Smart Systems (ICAIS),"12 Apr 2021","2021","","","747","751","The Endometriosis is caused by the endometriotic tissue that streaks the uterus from outside. A total of 6% of women under child bearing age is affected by the endometriosis disorder. The presence of the tissue can be identified though MRI, Transvaginal Ultra Sound Scan (TVUS), Laparoscopic images and pathological slides. Image based applications are processed using Image Pre-processing, Image Segmentation, Image Enhancement and Feature Extraction techniques. The Open Computer Vision (Open CV) is used to extract the features from Laparoscopic Endometriosis Images (LPI). This paper proposed a method to identify the endometriotic tissue by using the LPI images. The proposed method uses several image processing techniques of OpenCV includes Adaptive Threshold, Contour Mask to extract the lesion area from the Laparoscopic images. The designed algorithm has been experimented and the results yielded 53.5 % mean value intensity in identifying the lesion area.","","978-1-7281-9537-7","10.1109/ICAIS50930.2021.9395822","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9395822","OpenCV;Adaptive Threshold;Contour Mask;MRI;Histopathological Slides","Laparoscopes;Computer vision;Pathology;Magnetic resonance imaging;Feature extraction;Lesions;Image enhancement","","13","","19","IEEE","12 Apr 2021","25-27 March 2021","25-27 March 2021","IEEE","IEEE Conferences"
